20150302,545000,3,2.25,1670,6240,1,8,1240,430,1974,0,47.6413,-122.113
20150211,785000,4,2.5,3300,10514,2,10,3300,0,1984,0,47.6323,-122.036
20150107,765000,3,3.25,3190,5283,2,9,3190,0,2007,0,47.5534,-122.002
20141103,720000,5,2.5,2900,9525,2,9,2900,0,1989,0,47.5442,-122.138
20140603,449500,5,2.75,2040,7488,1,7,1200,840,1969,0,47.7289,-122.172
20150506,248500,2,1,780,10064,1,7,780,0,1958,0,47.4913,-122.318
20150305,675000,4,2.5,1770,9858,1,8,1770,0,1971,0,47.7382,-122.287
20140701,730000,2,2.25,2130,4920,1.5,7,1530,600,1941,0,47.573,-122.409
20140807,311000,2,1,860,3300,1,6,860,0,1903,0,47.5496,-122.279
20141204,660000,2,1,960,6263,1,6,960,0,1942,0,47.6646,-122.202
20150227,435000,2,1,990,5643,1,7,870,120,1947,0,47.6802,-122.298
20140904,350000,3,1,1240,10800,1,7,1240,0,1959,0,47.5233,-122.185
20140902,385000,3,2.25,1630,1598,3,8,1630,0,2008,0,47.6904,-122.347
20150413,235000,2,1,930,10505,1,6,930,0,1930,0,47.4337,-122.329
20140930,350000,3,1,1300,10236,1,6,1300,0,1971,0,47.5028,-121.77
20150507,1350000,4,1.75,2000,3728,1.5,9,1820,180,1926,0,47.643,-122.299
20140530,459900,3,1.75,2580,11000,1,7,1290,1290,1951,0,47.5646,-122.181
20140723,430000,6,3,2630,8800,1,7,1610,1020,1959,0,47.7166,-122.293
20141003,718000,5,2.75,2930,7663,2,9,2930,0,2013,0,47.5308,-122.184
20141215,220000,4,1,1440,8250,1,7,1440,0,1959,0,47.4325,-122.291
20150421,1500000,4,3.25,3470,5222,2,10,2830,640,2005,0,47.6845,-122.209
20141126,140000,3,1.5,1200,2002,2,8,1200,0,1966,0,47.4659,-122.189
20150115,200000,4,2.5,1720,8638,2,8,1720,0,1994,0,47.2704,-122.313
20140520,475000,4,1.75,1650,7775,1,7,1150,500,1950,0,47.715,-122.354
20140813,179000,3,1,920,5200,1,6,920,0,1969,0,47.3603,-122.085
